MutantID,Operator,Extra,POS_NEG,Class,Line,Original,Mutated
1,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,34,1218,1L
2,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,34,1218,-1L
3,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,36,1319,0L
4,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,36,1319,-1L
5,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,38,1432,0L
6,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,38,1432,1L
7,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,40,1548,1
8,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,40,1548,-1
9,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,42,1660,0
10,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,42,1660,-1
11,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,44,1784,0
12,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,44,1784,1
13,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,46,1899,1
14,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,46,1899,-1
15,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,48,2011,0
16,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,48,2011,-1
17,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,50,2135,0
18,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,50,2135,1
19,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,52,2245,1
20,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,52,2245,-1
21,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,54,2352,0
22,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,54,2352,-1
23,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,56,2471,0
24,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,56,2471,1
25,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,58,2582,1.0
26,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,58,2582,-1.0
27,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,60,2693,0.0
28,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,60,2693,-1.0
29,ORU,-(double),+(double),org.apache.commons.lang3.math.NumberUtils,62,2816,+1.0
30,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,62,2817,0.0
31,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,62,2817,-1.0
32,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,64,2926,1.0F
33,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,64,2926,-1.0F
