MutantID,TotalTests,KilledTests,Score
1,1,1,1.0
10,3,3,1.0
102,1,1,1.0
103,3,1,0.3333333333333333
105,5,0,0.0
106,3,1,0.3333333333333333
11,1,1,1.0
110,3,1,0.3333333333333333
111,2,2,1.0
112,4,1,0.25
114,1,0,0.0
115,4,1,0.25
117,1,0,0.0
119,1,0,0.0
12,1,1,1.0
120,1,0,0.0
121,4,1,0.25
122,2,2,1.0
123,2,2,1.0
124,2,2,1.0
125,2,2,1.0
126,2,2,1.0
127,2,2,1.0
129,1,0,0.0
132,1,0,0.0
134,1,0,0.0
135,5,0,0.0
136,1,1,1.0
140,4,0,0.0
142,1,1,1.0
144,2,0,0.0
146,2,0,0.0
147,3,2,0.6666666666666666
149,1,0,0.0
151,3,2,0.6666666666666666
152,1,0,0.0
153,4,1,0.25
157,3,1,0.3333333333333333
159,1,0,0.0
160,1,0,0.0
162,1,0,0.0
163,1,0,0.0
164,1,0,0.0
166,1,0,0.0
170,1,0,0.0
171,3,1,0.3333333333333333
179,3,0,0.0
180,3,0,0.0
182,3,0,0.0
184,4,2,0.5
185,4,0,0.0
186,3,1,0.3333333333333333
187,4,0,0.0
188,3,1,0.3333333333333333
189,3,1,0.3333333333333333
190,4,0,0.0
191,3,1,0.3333333333333333
192,1,1,1.0
196,3,1,0.3333333333333333
197,3,1,0.3333333333333333
199,3,1,0.3333333333333333
2,1,1,1.0
202,1,0,0.0
203,3,0,0.0
206,1,0,0.0
207,1,0,0.0
208,1,0,0.0
210,1,0,0.0
214,3,1,0.3333333333333333
215,1,0,0.0
218,3,1,0.3333333333333333
221,1,1,1.0
222,1,1,1.0
224,1,1,1.0
225,1,1,1.0
227,1,1,1.0
229,1,1,1.0
231,1,1,1.0
233,1,1,1.0
234,1,1,1.0
235,1,1,1.0
237,1,1,1.0
238,1,1,1.0
240,1,1,1.0
242,1,1,1.0
244,1,1,1.0
246,1,1,1.0
25,1,1,1.0
250,3,3,1.0
251,1,1,1.0
254,1,1,1.0
26,1,1,1.0
260,1,1,1.0
262,1,1,1.0
264,3,3,1.0
27,1,1,1.0
271,3,3,1.0
272,3,3,1.0
273,4,1,0.25
274,3,3,1.0
275,1,1,1.0
276,3,1,0.3333333333333333
277,1,1,1.0
28,1,1,1.0
281,3,3,1.0
282,3,3,1.0
283,1,1,1.0
284,2,2,1.0
285,1,1,1.0
286,1,1,1.0
287,1,1,1.0
288,1,1,1.0
289,3,3,1.0
29,1,1,1.0
290,1,1,1.0
292,1,1,1.0
294,3,3,1.0
296,1,1,1.0
297,2,2,1.0
298,3,3,1.0
299,3,3,1.0
3,1,1,1.0
30,1,1,1.0
300,3,3,1.0
301,2,2,1.0
302,3,3,1.0
303,1,1,1.0
306,1,1,1.0
307,3,3,1.0
31,1,1,1.0
312,3,3,1.0
315,1,1,1.0
316,3,3,1.0
319,7,0,0.0
32,1,1,1.0
320,7,0,0.0
321,1,0,0.0
322,7,0,0.0
323,7,0,0.0
324,7,0,0.0
326,1,0,0.0
327,1,1,1.0
329,1,0,0.0
33,1,1,1.0
333,1,1,1.0
338,1,0,0.0
339,1,0,0.0
34,1,1,1.0
340,1,0,0.0
341,1,0,0.0
342,1,0,0.0
343,4,3,0.75
344,4,0,0.0
345,2,0,0.0
346,2,0,0.0
347,3,3,1.0
348,1,0,0.0
349,4,3,0.75
35,1,1,1.0
350,1,1,1.0
351,1,1,1.0
352,1,0,0.0
353,2,0,0.0
354,1,0,0.0
355,2,0,0.0
358,4,4,1.0
359,2,0,0.0
36,1,1,1.0
360,2,0,0.0
361,2,0,0.0
362,2,0,0.0
363,2,0,0.0
364,2,0,0.0
365,2,0,0.0
366,4,4,1.0
367,2,0,0.0
368,2,0,0.0
369,2,0,0.0
37,1,1,1.0
370,2,0,0.0
371,1,0,0.0
372,1,0,0.0
373,1,0,0.0
374,1,0,0.0
375,1,0,0.0
376,1,0,0.0
378,1,0,0.0
379,2,2,1.0
38,1,1,1.0
380,1,0,0.0
381,2,2,1.0
382,1,0,0.0
383,3,2,0.6666666666666666
384,2,0,0.0
385,2,0,0.0
386,2,2,1.0
388,1,1,1.0
389,3,3,1.0
39,1,1,1.0
390,1,0,0.0
392,4,0,0.0
394,4,0,0.0
395,2,0,0.0
396,1,0,0.0
397,1,0,0.0
399,1,0,0.0
4,1,1,1.0
40,1,1,1.0
401,1,0,0.0
402,1,1,1.0
403,1,1,1.0
405,1,1,1.0
406,1,1,1.0
407,2,0,0.0
408,1,0,0.0
409,1,0,0.0
411,1,0,0.0
413,1,0,0.0
414,1,1,1.0
415,1,1,1.0
417,1,1,1.0
418,1,1,1.0
419,2,0,0.0
42,1,1,1.0
420,1,0,0.0
421,1,0,0.0
423,1,0,0.0
425,1,0,0.0
426,1,1,1.0
427,1,1,1.0
429,1,1,1.0
43,1,1,1.0
430,1,1,1.0
431,2,0,0.0
432,1,0,0.0
433,1,0,0.0
435,1,0,0.0
437,1,0,0.0
438,1,1,1.0
439,1,1,1.0
441,1,1,1.0
442,1,1,1.0
443,2,0,0.0
444,1,0,0.0
445,2,0,0.0
447,2,0,0.0
449,1,0,0.0
45,1,1,1.0
450,2,2,1.0
451,1,1,1.0
452,1,1,1.0
453,1,1,1.0
455,1,1,1.0
456,1,1,1.0
457,2,0,0.0
458,1,0,0.0
459,1,0,0.0
46,1,1,1.0
461,1,0,0.0
463,1,0,0.0
464,1,1,1.0
466,1,1,1.0
467,1,1,1.0
469,1,1,1.0
47,1,0,0.0
470,1,1,1.0
471,2,0,0.0
472,1,0,0.0
473,1,0,0.0
475,1,0,0.0
477,1,0,0.0
478,1,1,1.0
479,1,1,1.0
48,1,1,1.0
481,1,1,1.0
482,1,1,1.0
483,2,0,0.0
484,1,0,0.0
485,1,0,0.0
487,1,0,0.0
489,1,0,0.0
49,1,1,1.0
490,1,1,1.0
491,1,1,1.0
493,1,1,1.0
494,1,1,1.0
495,2,0,0.0
496,1,0,0.0
497,1,0,0.0
499,1,0,0.0
5,1,1,1.0
50,1,0,0.0
501,1,0,0.0
502,1,1,1.0
503,1,1,1.0
505,1,1,1.0
506,1,1,1.0
507,2,0,0.0
508,1,0,0.0
509,1,0,0.0
511,1,0,0.0
513,1,0,0.0
514,1,1,1.0
